epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,794.019,0.96534,0.6832,1.22815,0.94601,0.8236,0.9249,0.65683,1.01811,0.56113,1.3363,0.0015941,0.0015941,0.0015941
43,812.56,0.97476,0.67611,1.23191,0.94459,0.85189,0.93023,0.66567,1.00669,0.54084,1.31567,0.0015842,0.0015842,0.0015842
44,831.307,0.97912,0.68458,1.23215,0.93084,0.83464,0.91518,0.65998,1.00052,0.56903,1.31407,0.0015743,0.0015743,0.0015743
45,850.182,0.99117,0.70685,1.24581,0.95104,0.83444,0.92569,0.64872,1.05115,0.57284,1.35737,0.0015644,0.0015644,0.0015644
46,868.7,0.95594,0.66298,1.22256,0.90751,0.86249,0.92425,0.65495,1.03935,0.54758,1.33744,0.0015545,0.0015545,0.0015545
47,887.24,0.96452,0.67392,1.23276,0.93314,0.80666,0.89029,0.62405,1.12151,0.66091,1.3705,0.0015446,0.0015446,0.0015446
48,905.755,0.96374,0.69977,1.23364,0.92854,0.85009,0.92172,0.65426,1.03384,0.5753,1.32746,0.0015347,0.0015347,0.0015347
49,924.237,0.97419,0.68627,1.22283,0.93796,0.84347,0.91761,0.63649,1.09323,0.60181,1.37897,0.0015248,0.0015248,0.0015248
50,942.517,0.96314,0.67067,1.23186,0.92155,0.86033,0.92766,0.66052,1.00835,0.53961,1.3187,0.0015149,0.0015149,0.0015149
51,960.761,0.95984,0.685,1.22843,0.90384,0.87143,0.92646,0.66264,1.01631,0.5649,1.30746,0.001505,0.001505,0.001505
52,978.871,0.94596,0.65794,1.2211,0.94734,0.85671,0.92849,0.65728,1.02177,0.55991,1.32002,0.0014951,0.0014951,0.0014951
53,997.012,0.96385,0.67027,1.22842,0.92633,0.86936,0.93208,0.67484,0.97046,0.51961,1.28337,0.0014852,0.0014852,0.0014852
54,1015.25,0.96396,0.65855,1.23484,0.92285,0.83143,0.90858,0.64584,1.03107,0.60762,1.32514,0.0014753,0.0014753,0.0014753
55,1033.41,0.97518,0.66766,1.24289,0.92226,0.82141,0.90377,0.64452,1.0192,0.60729,1.32657,0.0014654,0.0014654,0.0014654
56,1051.51,0.94619,0.65571,1.21566,0.93587,0.8543,0.92932,0.67104,0.98036,0.53425,1.29607,0.0014555,0.0014555,0.0014555
57,1069.68,0.94304,0.66181,1.21381,0.93251,0.85551,0.92637,0.65792,1.04998,0.55659,1.33338,0.0014456,0.0014456,0.0014456
58,1088.03,0.93392,0.6471,1.2098,0.94428,0.86273,0.9296,0.6692,1.02363,0.54128,1.31047,0.0014357,0.0014357,0.0014357
59,1106.27,0.93838,0.63202,1.20334,0.92333,0.85792,0.92379,0.66,1.02458,0.5443,1.31945,0.0014258,0.0014258,0.0014258
60,1124.38,0.91482,0.63802,1.19166,0.91375,0.85852,0.92599,0.6562,1.0408,0.55153,1.3328,0.0014159,0.0014159,0.0014159
61,1142.75,0.93686,0.64314,1.20926,0.91258,0.83624,0.91286,0.62942,1.10291,0.61593,1.38037,0.001406,0.001406,0.001406
62,1161.16,0.95838,0.66828,1.2271,0.93705,0.86035,0.92688,0.66909,0.99555,0.53125,1.31,0.0013961,0.0013961,0.0013961
63,1179.53,0.93604,0.62814,1.20935,0.94687,0.85852,0.93253,0.65836,1.04564,0.55235,1.32419,0.0013862,0.0013862,0.0013862
