epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,530.822,1.04878,1.08051,1.15438,0.72502,0.66117,0.76025,0.5582,1.07187,1.1148,1.18338,0.0015941,0.0015941,0.0015941
43,543.279,1.04426,1.07423,1.15493,0.71537,0.69307,0.75905,0.54856,1.09667,1.14277,1.19248,0.0015842,0.0015842,0.0015842
44,555.724,1.05007,1.06719,1.14858,0.75147,0.65457,0.75771,0.55217,1.07788,1.14646,1.18668,0.0015743,0.0015743,0.0015743
45,568.199,1.03989,1.04846,1.15462,0.72652,0.68647,0.77164,0.56374,1.0796,1.09864,1.18591,0.0015644,0.0015644,0.0015644
46,580.749,1.05875,1.06676,1.15422,0.7174,0.67712,0.76154,0.55495,1.07976,1.1073,1.19656,0.0015545,0.0015545,0.0015545
47,593.375,1.03307,1.05215,1.14696,0.72749,0.68592,0.77654,0.56713,1.06265,1.08367,1.18754,0.0015446,0.0015446,0.0015446
48,606,1.0391,1.03781,1.14612,0.77586,0.65688,0.77384,0.56577,1.07474,1.08093,1.19775,0.0015347,0.0015347,0.0015347
49,619.079,1.0421,1.03887,1.14947,0.72869,0.64856,0.74487,0.54397,1.09785,1.19081,1.19509,0.0015248,0.0015248,0.0015248
50,631.901,1.03031,1.04107,1.13832,0.73673,0.6942,0.77916,0.56964,1.07517,1.10531,1.19181,0.0015149,0.0015149,0.0015149
51,644.804,1.05054,1.07166,1.14778,0.73716,0.67108,0.76564,0.55825,1.08653,1.09876,1.19462,0.001505,0.001505,0.001505
52,657.786,1.03098,1.04494,1.14596,0.77593,0.65145,0.77182,0.56427,1.06594,1.09182,1.18451,0.0014951,0.0014951,0.0014951
53,670.679,1.02089,1.0278,1.13663,0.70808,0.69747,0.76498,0.55281,1.08958,1.12425,1.17311,0.0014852,0.0014852,0.0014852
54,683.479,1.02761,1.02384,1.13209,0.75604,0.66667,0.76781,0.56268,1.0691,1.11545,1.17546,0.0014753,0.0014753,0.0014753
55,696.434,1.00392,1.02296,1.13264,0.74691,0.6834,0.77562,0.57183,1.04897,1.09019,1.18112,0.0014654,0.0014654,0.0014654
56,709.363,1.00967,0.99227,1.12847,0.72447,0.69637,0.7728,0.56884,1.05172,1.0846,1.17689,0.0014555,0.0014555,0.0014555
57,722.246,1.00749,1.01709,1.12396,0.73083,0.66942,0.76096,0.55835,1.08115,1.13858,1.18658,0.0014456,0.0014456,0.0014456
58,734.989,1.02096,1.01433,1.13483,0.75629,0.67255,0.7736,0.56533,1.07406,1.08374,1.18976,0.0014357,0.0014357,0.0014357
59,747.828,1.02165,1.00553,1.13284,0.73703,0.67272,0.76624,0.56348,1.05581,1.10417,1.1714,0.0014258,0.0014258,0.0014258
60,760.704,1.00103,1.00147,1.13051,0.72122,0.69362,0.76886,0.56068,1.08657,1.1044,1.19748,0.0014159,0.0014159,0.0014159
61,773.536,0.99525,0.99387,1.11798,0.75006,0.65072,0.75909,0.55445,1.07967,1.15701,1.19498,0.001406,0.001406,0.001406
62,786.529,1.00644,1.00311,1.12419,0.7431,0.69417,0.77651,0.57356,1.05966,1.08028,1.17708,0.0013961,0.0013961,0.0013961
63,799.382,0.99506,1.00075,1.12646,0.738,0.67547,0.76887,0.55909,1.07713,1.13278,1.19071,0.0013862,0.0013862,0.0013862
64,811.946,0.99463,0.98045,1.12221,0.7512,0.67712,0.7778,0.57191,1.06244,1.11538,1.18611,0.0013763,0.0013763,0.0013763
65,824.704,0.99819,0.96968,1.12342,0.71738,0.70789,0.77893,0.56413,1.07551,1.06701,1.18735,0.0013664,0.0013664,0.0013664
66,837.311,0.99451,0.9663,1.12666,0.73407,0.6848,0.76498,0.5603,1.08993,1.11519,1.219,0.0013565,0.0013565,0.0013565
67,850.145,0.9833,0.97526,1.12363,0.74639,0.64961,0.74278,0.5443,1.08377,1.16536,1.20768,0.0013466,0.0013466,0.0013466
68,862.783,0.98781,0.95645,1.10827,0.74824,0.68825,0.77681,0.57109,1.05418,1.07267,1.18223,0.0013367,0.0013367,0.0013367
69,875.255,0.98128,0.96562,1.11981,0.72934,0.68479,0.76657,0.5699,1.04977,1.1023,1.19131,0.0013268,0.0013268,0.0013268
70,888.073,0.9688,0.95287,1.10555,0.72916,0.71377,0.78956,0.5869,1.03516,1.05135,1.16813,0.0013169,0.0013169,0.0013169
71,900.879,0.96901,0.94778,1.10528,0.71161,0.70407,0.77377,0.56868,1.09183,1.09541,1.20917,0.001307,0.001307,0.001307
72,913.563,0.97827,0.94437,1.11219,0.759,0.66667,0.76871,0.56643,1.05168,1.08406,1.19277,0.0012971,0.0012971,0.0012971
73,926.029,0.96849,0.94609,1.10107,0.73096,0.69941,0.77849,0.57408,1.05825,1.11632,1.1807,0.0012872,0.0012872,0.0012872
74,938.667,0.97226,0.94439,1.11435,0.77375,0.66777,0.77459,0.56623,1.0624,1.09115,1.19038,0.0012773,0.0012773,0.0012773
75,951.569,0.95978,0.92977,1.10978,0.76559,0.68482,0.78101,0.57307,1.0513,1.09377,1.1858,0.0012674,0.0012674,0.0012674
76,964.304,0.99045,0.96851,1.11611,0.7104,0.70975,0.77321,0.5717,1.03761,1.10682,1.17141,0.0012575,0.0012575,0.0012575
77,976.825,0.96236,0.94475,1.10218,0.7667,0.66007,0.77791,0.57596,1.06326,1.08094,1.1774,0.0012476,0.0012476,0.0012476
78,989.402,0.98037,0.93826,1.10737,0.74644,0.69197,0.78563,0.58134,1.04413,1.05946,1.17526,0.0012377,0.0012377,0.0012377
79,1002.04,0.95662,0.91043,1.09661,0.76772,0.67492,0.77632,0.57586,1.03187,1.0886,1.16461,0.0012278,0.0012278,0.0012278
80,1014.69,0.95878,0.92863,1.09386,0.74633,0.68977,0.77716,0.56846,1.07972,1.0661,1.19302,0.0012179,0.0012179,0.0012179
