epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.175,1.95097,2.83172,1.8816,0.46964,0.49065,0.44246,0.25115,1.67588,1.99394,1.54714,0.000659176,0.000659176,0.000659176
2,29.5015,1.54136,1.78788,1.47453,0.56299,0.4956,0.5369,0.32058,1.6232,1.85104,1.58283,0.00131928,0.00131928,0.00131928
3,42.3178,1.43705,1.63728,1.40133,0.59454,0.5484,0.58483,0.36329,1.52032,1.68829,1.47014,0.00197278,0.00197278,0.00197278
4,54.9976,1.42472,1.58395,1.37978,0.64042,0.54785,0.61755,0.39119,1.4092,1.56632,1.38744,0.0019703,0.0019703,0.0019703
5,67.8683,1.36607,1.4845,1.34739,0.64232,0.57194,0.62831,0.40576,1.36195,1.51978,1.33845,0.0019604,0.0019604,0.0019604
6,80.5188,1.35284,1.47729,1.33947,0.63108,0.61111,0.66018,0.43824,1.31625,1.48174,1.32738,0.0019505,0.0019505,0.0019505
7,93.1824,1.28896,1.40188,1.29985,0.63428,0.61111,0.65847,0.44915,1.26396,1.41011,1.29422,0.0019406,0.0019406,0.0019406
8,105.782,1.26194,1.36819,1.283,0.66974,0.60616,0.67872,0.46149,1.26785,1.3677,1.31173,0.0019307,0.0019307,0.0019307
9,118.567,1.26802,1.37161,1.28781,0.65399,0.61236,0.68172,0.45498,1.30043,1.49307,1.31231,0.0019208,0.0019208,0.0019208
10,131.268,1.24869,1.33859,1.27704,0.68239,0.62636,0.70536,0.48863,1.21617,1.30262,1.26754,0.0019109,0.0019109,0.0019109
11,143.945,1.21827,1.31924,1.26728,0.65824,0.63531,0.68688,0.4699,1.22661,1.39492,1.28159,0.001901,0.001901,0.001901
12,156.641,1.22848,1.32393,1.27386,0.65632,0.61826,0.68905,0.47647,1.20739,1.38154,1.26361,0.0018911,0.0018911,0.0018911
13,169.251,1.21198,1.28759,1.2549,0.66539,0.63091,0.70067,0.48437,1.20244,1.3263,1.25491,0.0018812,0.0018812,0.0018812
14,182.109,1.19702,1.27985,1.24375,0.66955,0.6453,0.70904,0.49366,1.18102,1.37671,1.23846,0.0018713,0.0018713,0.0018713
15,194.875,1.17865,1.23682,1.22585,0.6556,0.64191,0.7008,0.49391,1.18218,1.39216,1.24039,0.0018614,0.0018614,0.0018614
16,207.595,1.17368,1.24515,1.21956,0.67293,0.62706,0.70213,0.48928,1.19033,1.27689,1.25891,0.0018515,0.0018515,0.0018515
17,220.132,1.17782,1.21236,1.22874,0.73395,0.61606,0.71505,0.50238,1.17143,1.28403,1.24965,0.0018416,0.0018416,0.0018416
