epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.767,1.97559,2.90352,1.90595,0.4472,0.48102,0.40812,0.2307,1.6734,2.02325,1.55719,0.000659176,0.000659176,0.000659176
2,30.3397,1.56043,1.84685,1.49465,0.55306,0.51375,0.54777,0.33464,1.53973,1.83062,1.51304,0.00131928,0.00131928,0.00131928
3,42.7007,1.45559,1.69364,1.41495,0.60658,0.54895,0.59886,0.38079,1.43922,1.59141,1.39588,0.00197278,0.00197278,0.00197278
4,54.985,1.44693,1.64082,1.40959,0.61939,0.55061,0.59914,0.37437,1.50547,1.60296,1.47935,0.0019703,0.0019703,0.0019703
5,67.7406,1.39405,1.54504,1.37192,0.61295,0.53025,0.582,0.37542,1.42526,1.66603,1.40412,0.0019604,0.0019604,0.0019604
6,80.5691,1.38471,1.53839,1.36051,0.60821,0.59176,0.63435,0.40509,1.37597,1.47673,1.37283,0.0019505,0.0019505,0.0019505
7,93.6831,1.32086,1.46811,1.32885,0.60031,0.60341,0.64425,0.42105,1.37936,1.50258,1.36566,0.0019406,0.0019406,0.0019406
8,106.342,1.29124,1.44028,1.30776,0.59112,0.61881,0.65297,0.44321,1.25964,1.41173,1.29577,0.0019307,0.0019307,0.0019307
9,118.876,1.29793,1.44591,1.31495,0.63994,0.60176,0.67296,0.45808,1.25314,1.60106,1.29873,0.0019208,0.0019208,0.0019208
10,131.251,1.27403,1.40123,1.29891,0.64722,0.61111,0.67223,0.46274,1.26061,1.37748,1.30821,0.0019109,0.0019109,0.0019109
11,144.057,1.24523,1.38031,1.2876,0.64421,0.5687,0.62793,0.40022,1.39983,1.48511,1.39752,0.001901,0.001901,0.001901
12,156.409,1.25975,1.37837,1.2965,0.63727,0.61386,0.68326,0.46894,1.2008,1.33928,1.2694,0.0018911,0.0018911,0.0018911
13,168.849,1.23698,1.35786,1.2822,0.69418,0.58141,0.69181,0.48184,1.18936,1.33376,1.2745,0.0018812,0.0018812,0.0018812
14,181.485,1.22478,1.34519,1.27174,0.64972,0.63256,0.68375,0.47494,1.21237,1.38421,1.29543,0.0018713,0.0018713,0.0018713
15,194.24,1.20564,1.29796,1.25589,0.67144,0.61771,0.69096,0.48319,1.18397,1.40818,1.26403,0.0018614,0.0018614,0.0018614
16,206.933,1.20133,1.29901,1.25049,0.68351,0.61826,0.71007,0.50018,1.17626,1.28159,1.2668,0.0018515,0.0018515,0.0018515
