epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3603.94,1.19945,0.86596,1.12986,0.84698,0.73721,0.84419,0.59725,1.03868,0.72072,1.25128,0.007921,0.007921,0.007921
44,3687.31,1.18958,0.84917,1.12888,0.84306,0.7528,0.84929,0.59794,1.02112,0.6975,1.24448,0.0078715,0.0078715,0.0078715
45,3770.86,1.18717,0.85075,1.12984,0.8299,0.74857,0.83794,0.58759,1.09045,0.73779,1.27917,0.007822,0.007822,0.007822
46,3854.3,1.19603,0.85183,1.13244,0.83943,0.75246,0.84858,0.60184,1.01477,0.70746,1.24729,0.0077725,0.0077725,0.0077725
47,3937.91,1.18272,0.84892,1.1202,0.83481,0.76376,0.85197,0.60042,1.0362,0.69061,1.26377,0.007723,0.007723,0.007723
48,4021.44,1.18477,0.84816,1.12568,0.83551,0.75426,0.84957,0.59847,1.04808,0.70196,1.25663,0.0076735,0.0076735,0.0076735
49,4104.72,1.17053,0.83619,1.11542,0.85327,0.74639,0.85028,0.6055,1.02872,0.68315,1.25063,0.007624,0.007624,0.007624
50,4188.16,1.16289,0.82803,1.12011,0.86392,0.73755,0.84594,0.59307,1.06636,0.70044,1.26342,0.0075745,0.0075745,0.0075745
51,4271.64,1.16917,0.83711,1.11947,0.83776,0.76035,0.85245,0.60199,1.03531,0.69079,1.24595,0.007525,0.007525,0.007525
52,4355.21,1.16726,0.82586,1.11518,0.84363,0.75554,0.85068,0.59285,1.08782,0.69505,1.27812,0.0074755,0.0074755,0.0074755
53,4438.75,1.16332,0.82589,1.11608,0.83859,0.76035,0.85487,0.60912,1.02409,0.67941,1.24533,0.007426,0.007426,0.007426
54,4522.17,1.15205,0.81503,1.11078,0.85277,0.75044,0.852,0.60506,1.03785,0.68478,1.24914,0.0073765,0.0073765,0.0073765
55,4605.69,1.14996,0.81547,1.11164,0.86055,0.75451,0.85697,0.60532,1.04086,0.67893,1.25836,0.007327,0.007327,0.007327
56,4689.11,1.16892,0.82449,1.11702,0.85218,0.75865,0.85792,0.61062,1.02883,0.66894,1.23578,0.0072775,0.0072775,0.0072775
57,4772.38,1.16001,0.82213,1.1142,0.8694,0.74939,0.85657,0.60442,1.06278,0.67573,1.26329,0.007228,0.007228,0.007228
58,4855.66,1.14688,0.81053,1.10602,0.85264,0.75304,0.84919,0.59818,1.05815,0.70571,1.26249,0.0071785,0.0071785,0.0071785
59,4939.14,1.148,0.80721,1.10626,0.8554,0.75638,0.85116,0.60459,1.04372,0.69193,1.24858,0.007129,0.007129,0.007129
60,5022.64,1.15445,0.81358,1.10735,0.8478,0.76381,0.856,0.61392,1.00287,0.66913,1.22358,0.0070795,0.0070795,0.0070795
61,5105.9,1.14534,0.80349,1.10509,0.8456,0.76961,0.85852,0.6084,1.04286,0.66647,1.24705,0.00703,0.00703,0.00703
62,5189.39,1.14068,0.80135,1.10031,0.85337,0.764,0.86054,0.61408,1.0225,0.66094,1.23622,0.0069805,0.0069805,0.0069805
63,5272.78,1.13597,0.79359,1.09916,0.84409,0.77448,0.85931,0.61308,1.02308,0.65762,1.235,0.006931,0.006931,0.006931
64,5356.42,1.1409,0.79189,1.10309,0.84113,0.76863,0.85875,0.6148,1.02461,0.66106,1.23281,0.0068815,0.0068815,0.0068815
65,5439.91,1.12796,0.79713,1.09657,0.84378,0.7656,0.85998,0.61467,1.00195,0.66348,1.22057,0.006832,0.006832,0.006832
66,5523.16,1.14056,0.79172,1.10345,0.85554,0.76446,0.86011,0.6156,1.01884,0.66204,1.23149,0.0067825,0.0067825,0.0067825
67,5606.44,1.13017,0.79132,1.09819,0.85528,0.76449,0.86373,0.61407,1.03224,0.65151,1.23596,0.006733,0.006733,0.006733
68,5689.92,1.1286,0.78732,1.09888,0.84456,0.77496,0.86177,0.61549,1.02948,0.64859,1.23467,0.0066835,0.0066835,0.0066835
69,5773.62,1.1263,0.7829,1.09691,0.85831,0.76887,0.86217,0.61869,1.02021,0.64632,1.23217,0.006634,0.006634,0.006634
70,5857.06,1.12234,0.77916,1.09711,0.8591,0.77228,0.8641,0.61771,1.01722,0.64476,1.22973,0.0065845,0.0065845,0.0065845
71,5940.45,1.11773,0.77614,1.08857,0.86201,0.76983,0.86554,0.61831,1.02962,0.64304,1.23953,0.006535,0.006535,0.006535
72,6024.32,1.12355,0.77873,1.09098,0.86327,0.76741,0.86704,0.61839,1.03064,0.64335,1.23512,0.0064855,0.0064855,0.0064855
73,6107.77,1.11215,0.76784,1.0888,0.86007,0.77302,0.86807,0.62266,1.0189,0.63563,1.23454,0.006436,0.006436,0.006436
74,6191.35,1.1126,0.76843,1.08592,0.85572,0.77569,0.86827,0.62117,1.02379,0.64286,1.24161,0.0063865,0.0063865,0.0063865
75,6274.68,1.10958,0.76783,1.08723,0.85091,0.78032,0.86718,0.61773,1.03898,0.6457,1.24096,0.006337,0.006337,0.006337
76,6358.23,1.10234,0.76525,1.07853,0.85925,0.77277,0.86611,0.61848,1.04008,0.64606,1.23418,0.0062875,0.0062875,0.0062875
