epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1726.77,1.08996,0.96203,1.27228,0.93445,0.84643,0.90268,0.68412,0.95016,0.55926,1.24245,0.007921,0.007921,0.007921
44,1766.81,1.11009,1.00556,1.28091,0.96071,0.84051,0.90527,0.67473,0.96537,0.54344,1.26248,0.0078715,0.0078715,0.0078715
45,1806.8,1.09733,0.9597,1.27193,0.95651,0.83437,0.90015,0.68855,0.93865,0.56421,1.26047,0.007822,0.007822,0.007822
46,1846.81,1.0924,0.96247,1.27117,0.9231,0.86273,0.90825,0.67638,0.97385,0.57559,1.25227,0.0077725,0.0077725,0.0077725
47,1886.85,1.0788,0.94006,1.25989,0.94156,0.8375,0.89386,0.67226,0.94924,0.57149,1.26383,0.007723,0.007723,0.007723
48,1927.04,1.07127,0.93115,1.24869,0.95113,0.85146,0.89346,0.67346,0.97423,0.58944,1.26125,0.0076735,0.0076735,0.0076735
49,1967.01,1.0636,0.94194,1.25,0.95975,0.825,0.89628,0.67996,0.92881,0.55892,1.24132,0.007624,0.007624,0.007624
50,2007.16,1.07023,0.93387,1.24992,0.93739,0.84375,0.89108,0.67436,0.95177,0.58526,1.2582,0.0075745,0.0075745,0.0075745
51,2047.21,1.05812,0.92022,1.25288,0.92258,0.84688,0.90431,0.68837,0.93465,0.55553,1.23538,0.007525,0.007525,0.007525
52,2087.33,1.06054,0.90947,1.25029,0.96784,0.84648,0.88409,0.64433,1.01199,0.60789,1.28397,0.0074755,0.0074755,0.0074755
53,2127.44,1.04623,0.90388,1.24238,0.94801,0.8548,0.90518,0.69543,0.91293,0.55422,1.21431,0.007426,0.007426,0.007426
54,2167.53,1.04334,0.90083,1.23616,0.95972,0.83125,0.89566,0.69336,0.90623,0.54529,1.21384,0.0073765,0.0073765,0.0073765
55,2207.69,1.03955,0.88823,1.23711,0.95463,0.82812,0.90825,0.68981,0.96686,0.55541,1.25128,0.007327,0.007327,0.007327
56,2247.67,1.03535,0.89576,1.23391,0.95322,0.84062,0.90218,0.68346,0.94,0.53494,1.23674,0.0072775,0.0072775,0.0072775
57,2287.67,1.03201,0.88918,1.2292,0.93821,0.84688,0.90151,0.69182,0.93289,0.55001,1.23819,0.007228,0.007228,0.007228
58,2327.73,1.04304,0.90056,1.24087,0.92533,0.852,0.89395,0.67936,0.93374,0.54049,1.25319,0.0071785,0.0071785,0.0071785
59,2367.76,1.03774,0.89305,1.22782,0.94976,0.85625,0.90672,0.68833,0.93464,0.53647,1.23373,0.007129,0.007129,0.007129
60,2407.78,1.02718,0.88674,1.23093,0.96039,0.83125,0.90492,0.6894,0.92658,0.54514,1.23465,0.0070795,0.0070795,0.0070795
61,2447.76,1.03288,0.87833,1.22552,0.95405,0.84354,0.90477,0.68157,0.93749,0.54232,1.21919,0.00703,0.00703,0.00703
62,2487.83,1.01747,0.86894,1.22278,0.97478,0.84563,0.90891,0.69947,0.90344,0.53658,1.23097,0.0069805,0.0069805,0.0069805
63,2528.06,1.00839,0.8441,1.21637,0.96891,0.84688,0.91405,0.7019,0.91211,0.50979,1.22342,0.006931,0.006931,0.006931
64,2568.13,1.00644,0.85256,1.21712,0.97348,0.825,0.90735,0.70505,0.90054,0.56453,1.22899,0.0068815,0.0068815,0.0068815
65,2608.17,1.01125,0.85401,1.21848,0.95136,0.85569,0.91653,0.70509,0.90073,0.52246,1.21069,0.006832,0.006832,0.006832
66,2648.19,1.01174,0.86781,1.2119,0.92592,0.85927,0.90395,0.69475,0.92083,0.5522,1.2232,0.0067825,0.0067825,0.0067825
67,2688.31,0.9975,0.84844,1.20641,0.95824,0.85625,0.9169,0.6994,0.90526,0.52259,1.21687,0.006733,0.006733,0.006733
68,2728.35,0.99416,0.83887,1.20139,0.93814,0.8531,0.91236,0.70514,0.89486,0.50818,1.2035,0.0066835,0.0066835,0.0066835
69,2768.56,0.98418,0.82528,1.19251,0.97689,0.84062,0.91612,0.70295,0.90762,0.52814,1.20778,0.006634,0.006634,0.006634
70,2808.74,0.99486,0.82128,1.20438,0.94707,0.8387,0.90437,0.69424,0.90839,0.55279,1.21325,0.0065845,0.0065845,0.0065845
71,2848.9,0.98129,0.81837,1.18675,0.96165,0.86197,0.90423,0.70723,0.85291,0.51435,1.18403,0.006535,0.006535,0.006535
72,2888.89,0.98772,0.82017,1.19648,0.96191,0.83125,0.90547,0.70426,0.88374,0.52802,1.20244,0.0064855,0.0064855,0.0064855
73,2928.91,0.9882,0.82259,1.19558,0.97178,0.86081,0.91345,0.7004,0.89772,0.49412,1.20312,0.006436,0.006436,0.006436
74,2969.03,0.98404,0.81851,1.18859,0.96315,0.85938,0.91133,0.69582,0.90586,0.49857,1.21037,0.0063865,0.0063865,0.0063865
75,3009.18,0.97796,0.81773,1.1945,0.94882,0.85313,0.9063,0.69416,0.91073,0.5378,1.2206,0.006337,0.006337,0.006337
76,3049.31,0.97128,0.79264,1.18303,0.94762,0.84375,0.90876,0.69909,0.90444,0.52979,1.20887,0.0062875,0.0062875,0.0062875
77,3089.48,0.97962,0.80971,1.18779,0.94185,0.86046,0.91137,0.70166,0.91592,0.49746,1.21616,0.006238,0.006238,0.006238
78,3129.55,0.9586,0.78744,1.17643,0.95312,0.85938,0.92105,0.70993,0.90638,0.48895,1.20408,0.0061885,0.0061885,0.0061885
79,3169.61,0.95086,0.78827,1.17601,0.96824,0.8575,0.91346,0.69625,0.91085,0.51887,1.22167,0.006139,0.006139,0.006139
80,3209.75,0.96852,0.78568,1.17921,0.96096,0.85,0.91062,0.70384,0.91079,0.53838,1.22588,0.0060895,0.0060895,0.0060895
81,3249.86,0.96293,0.7942,1.17797,0.95791,0.85625,0.91193,0.70208,0.91071,0.51171,1.21499,0.00604,0.00604,0.00604
82,3290.04,0.96131,0.7817,1.18057,0.95844,0.86482,0.91078,0.70456,0.9033,0.52909,1.2147,0.0059905,0.0059905,0.0059905
83,3330.14,0.94797,0.77969,1.17483,0.95725,0.83975,0.90839,0.69754,0.89862,0.52836,1.20997,0.005941,0.005941,0.005941
84,3370.4,0.94753,0.77813,1.16427,0.95808,0.85697,0.9103,0.6917,0.90722,0.52791,1.20754,0.0058915,0.0058915,0.0058915
85,3410.47,0.95822,0.78112,1.17365,0.96592,0.85313,0.90856,0.70014,0.89322,0.49449,1.19645,0.005842,0.005842,0.005842
86,3450.57,0.94408,0.76728,1.16463,0.95489,0.85997,0.91623,0.70166,0.92448,0.51232,1.21487,0.0057925,0.0057925,0.0057925
87,3490.64,0.94714,0.77495,1.17149,0.9293,0.86875,0.90811,0.69894,0.89507,0.52641,1.20495,0.005743,0.005743,0.005743
88,3530.69,0.93876,0.75966,1.16665,0.97764,0.84688,0.91755,0.70562,0.90562,0.50288,1.20888,0.0056935,0.0056935,0.0056935
