epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,813.023,1.03723,1.04498,1.14543,0.72822,0.67649,0.76455,0.55352,1.076,1.10485,1.19673,0.0015941,0.0015941,0.0015941
43,831.966,1.0273,1.02994,1.14819,0.70898,0.68812,0.76321,0.54891,1.11325,1.12058,1.21723,0.0015842,0.0015842,0.0015842
44,850.83,1.03085,1.02948,1.14388,0.71588,0.67219,0.76346,0.5622,1.07787,1.13581,1.19968,0.0015743,0.0015743,0.0015743
45,869.864,1.01808,1.01583,1.14453,0.74083,0.67611,0.7659,0.55534,1.10159,1.11647,1.22236,0.0015644,0.0015644,0.0015644
46,888.84,1.02325,1.02207,1.13957,0.7144,0.67971,0.75846,0.5552,1.06982,1.12876,1.1946,0.0015545,0.0015545,0.0015545
47,907.781,1.01281,1.01074,1.13165,0.72828,0.68482,0.76277,0.55267,1.1035,1.18079,1.21856,0.0015446,0.0015446,0.0015446
48,926.939,1.01919,0.99968,1.13376,0.73941,0.69087,0.76907,0.56283,1.07589,1.11474,1.1943,0.0015347,0.0015347,0.0015347
49,945.888,1.0293,1.00066,1.14338,0.72189,0.69472,0.77088,0.56902,1.05919,1.08853,1.18168,0.0015248,0.0015248,0.0015248
50,965.004,1.0009,0.99762,1.12076,0.73898,0.69472,0.77759,0.56547,1.07185,1.08869,1.19451,0.0015149,0.0015149,0.0015149
51,985.08,1.02833,1.03474,1.133,0.74558,0.65929,0.75774,0.55121,1.08973,1.14272,1.18252,0.001505,0.001505,0.001505
52,1004.31,1.00423,1.00024,1.1221,0.7487,0.66777,0.77369,0.56616,1.04991,1.1424,1.16746,0.0014951,0.0014951,0.0014951
53,1023.66,1.00148,0.9867,1.12525,0.74605,0.6803,0.77585,0.56923,1.05777,1.07048,1.16949,0.0014852,0.0014852,0.0014852
54,1042.9,1.00255,0.98022,1.11556,0.72073,0.68282,0.76169,0.55667,1.07065,1.11415,1.18787,0.0014753,0.0014753,0.0014753
55,1062.18,0.98233,0.96995,1.1151,0.70846,0.70041,0.77006,0.56148,1.09886,1.1241,1.2066,0.0014654,0.0014654,0.0014654
56,1081.16,0.98584,0.96268,1.11329,0.74541,0.68445,0.77059,0.56759,1.06278,1.10868,1.19777,0.0014555,0.0014555,0.0014555
57,1100.34,1.00243,0.98566,1.12152,0.73228,0.66227,0.75747,0.55223,1.07499,1.13995,1.18265,0.0014456,0.0014456,0.0014456
58,1119.41,1.0052,0.98884,1.12171,0.74952,0.69912,0.78457,0.57309,1.07658,1.11506,1.18473,0.0014357,0.0014357,0.0014357
59,1139.69,0.99579,0.97158,1.11634,0.72797,0.70737,0.77344,0.56825,1.06594,1.07143,1.17272,0.0014258,0.0014258,0.0014258
60,1159.51,0.98608,0.9604,1.12091,0.76137,0.66117,0.76874,0.56462,1.07067,1.14155,1.17403,0.0014159,0.0014159,0.0014159
61,1178.55,0.98304,0.95839,1.10399,0.76139,0.65646,0.76535,0.55201,1.12948,1.16282,1.2291,0.001406,0.001406,0.001406
62,1197.58,0.98201,0.95919,1.10674,0.77868,0.68207,0.79034,0.58276,1.03453,1.06476,1.16258,0.0013961,0.0013961,0.0013961
63,1216.66,0.98755,0.96197,1.11476,0.73997,0.68872,0.7769,0.56685,1.08139,1.08166,1.1826,0.0013862,0.0013862,0.0013862
64,1235.72,0.97169,0.93548,1.10433,0.73269,0.71177,0.78498,0.57682,1.06922,1.10349,1.18138,0.0013763,0.0013763,0.0013763
65,1254.66,0.97092,0.92169,1.10538,0.74833,0.67932,0.77983,0.57248,1.0799,1.08861,1.20034,0.0013664,0.0013664,0.0013664
66,1273.67,0.98088,0.94276,1.11073,0.75697,0.67675,0.77568,0.56707,1.07821,1.09111,1.19695,0.0013565,0.0013565,0.0013565
67,1293.04,0.9618,0.93268,1.10662,0.73472,0.68427,0.77494,0.56804,1.06513,1.11277,1.17773,0.0013466,0.0013466,0.0013466
68,1312.16,0.97279,0.92703,1.09882,0.75755,0.65787,0.75306,0.54821,1.09271,1.11568,1.20876,0.0013367,0.0013367,0.0013367
69,1331.47,0.96368,0.93131,1.10467,0.77428,0.66794,0.78933,0.5867,1.03563,1.0457,1.15749,0.0013268,0.0013268,0.0013268
70,1351.76,0.95599,0.9085,1.09308,0.74111,0.68647,0.7699,0.57057,1.0426,1.09128,1.17528,0.0013169,0.0013169,0.0013169
71,1371.03,0.94829,0.9147,1.0915,0.71969,0.69637,0.76033,0.5601,1.06059,1.09155,1.17515,0.001307,0.001307,0.001307
72,1390.01,0.95337,0.90688,1.09412,0.72677,0.68647,0.77513,0.57263,1.03605,1.09799,1.16134,0.0012971,0.0012971,0.0012971
73,1409.13,0.94854,0.90808,1.08578,0.75601,0.66777,0.7734,0.57559,1.05079,1.15467,1.17003,0.0012872,0.0012872,0.0012872
74,1428.1,0.94045,0.89355,1.09407,0.75353,0.66777,0.77596,0.56956,1.06999,1.07236,1.18817,0.0012773,0.0012773,0.0012773
75,1447.21,0.93608,0.88584,1.09273,0.72425,0.71946,0.77598,0.57276,1.05436,1.0728,1.18267,0.0012674,0.0012674,0.0012674
76,1466.15,0.95912,0.92028,1.09735,0.73873,0.65787,0.75925,0.56209,1.04405,1.10544,1.18167,0.0012575,0.0012575,0.0012575
77,1485.23,0.94608,0.89582,1.08781,0.73042,0.71727,0.79222,0.58954,1.04019,1.05093,1.1699,0.0012476,0.0012476,0.0012476
78,1504.38,0.95963,0.89688,1.09183,0.75856,0.67822,0.77571,0.57283,1.05465,1.11301,1.16883,0.0012377,0.0012377,0.0012377
79,1523.5,0.93697,0.86621,1.08049,0.76031,0.68569,0.77747,0.57153,1.04311,1.07031,1.16626,0.0012278,0.0012278,0.0012278
80,1542.37,0.94429,0.88441,1.08508,0.73543,0.69912,0.77817,0.57661,1.07055,1.07196,1.18901,0.0012179,0.0012179,0.0012179
81,1561.34,0.93299,0.87069,1.08671,0.76448,0.68207,0.78652,0.58893,1.03315,1.07149,1.17831,0.001208,0.001208,0.001208
82,1580.29,0.91966,0.85321,1.07686,0.7102,0.68344,0.74977,0.55308,1.07565,1.13504,1.20125,0.0011981,0.0011981,0.0011981
83,1599.38,0.93203,0.86662,1.08356,0.74269,0.68482,0.77669,0.57755,1.03548,1.07128,1.16846,0.0011882,0.0011882,0.0011882
84,1618.51,0.9178,0.85485,1.07597,0.74263,0.69836,0.78914,0.58774,1.04405,1.01784,1.17481,0.0011783,0.0011783,0.0011783
85,1637.46,0.9214,0.85919,1.07763,0.69892,0.68977,0.75771,0.56083,1.07161,1.15328,1.2063,0.0011684,0.0011684,0.0011684
86,1656.42,0.94334,0.87753,1.08553,0.74948,0.70762,0.78283,0.5797,1.06178,1.07098,1.18501,0.0011585,0.0011585,0.0011585
87,1675.56,0.91709,0.84601,1.07124,0.77064,0.67382,0.77927,0.58029,1.05041,1.06458,1.18346,0.0011486,0.0011486,0.0011486
